id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48916600,"New Top FLR Bright 2 BDR, By UofT+Deck+Parking+W+D",384337721,Sophie U,,Palmerston-Little Italy,43.65899,-79.41023,Entire home/apt,1999,28,4,2023-06-05,0.12,12,90,1,
48942437,1 Private room double bed in Toronto lakeshore ...,149715432,Khaled,,Long Branch,43.60005,-79.52511,Private room,51,3,45,2024-04-15,1.22,4,180,19,STR-2102-HLZDVK
48981987,Homewood Queen Bed Room C02,213612,Shiro,,Cabbagetown-South St.James Town,43.66467,-79.37614,Private room,95,28,6,2023-11-25,0.22,13,125,2,STR-2206-GTSKVH
48984301,City View Condo on Front Street (WiFi  & Balcony),339842916,Olu,,Waterfront Communities-The Island,43.64301,-79.38987,Entire home/apt,100,29,3,2023-03-14,0.10,19,365,0,
48995003,3263 Lake Shore (4),249317446,Nezar,,Long Branch,43.59742,-79.52326,Entire home/apt,85,29,1,2024-04-10,1,14,361,1,
48996683,"Finch & VictoriaPark, 82 Faye Dr. North York,",395115163,Mahmood,,Pleasant View,43.78878402709961,-79.33721160888672,Private room,80,30,11,2023-06-05,0.30,2,179,1,STR-2104-FQRXVC
48998588,Magnificent 2BR Condo in Downtown Toronto,273658759,Bas,,Bay Street Corridor,43.65864,-79.38428,Entire home/apt,183,90,1,2022-08-20,0.05,12,306,0,
49007562,"Luxe, Family Friendly Oasis in Trendy Leslieville!",106887848,Isabelle,,Greenwood-Coxwell,43.66555,-79.3212,Entire home/apt,1199,3,58,2024-04-21,1.71,1,329,14,STR-2104-GRXXVG
49009609,Spacious King West 1 BDR 1 BATH Unit + Peloton!,26340613,Hannah,,Waterfront Communities-The Island,43.64248,-79.40005,Entire home/apt,,28,0,,,1,0,0,
49009884,Bright Loft Style 1 BR - Downtown Toronto By UofT,342457783,Sophie,,Palmerston-Little Italy,43.6587,-79.40893,Entire home/apt,1999,28,5,2023-08-31,0.14,14,67,1,
49011112,Bright Loft Style 1 BR - Downtown Toronto By UofT!,384337721,Sophie U,,Palmerston-Little Italy,43.65918,-79.4103,Entire home/apt,80,28,3,2024-04-01,0.09,12,67,1,
49016715,SPACIOUS & BRIGHT 1BR in shared basement by Humber,66274966,Payal,,West Humber-Clairville,43.726463,-79.585869,Private room,32,28,5,2023-06-20,0.14,13,345,1,
49017510,Beautiful Renovated 1000sqft 2bedroom near airport,92124221,Samia,,Kingsview Village-The Westway,43.69693,-79.55537,Entire home/apt,200,28,3,2023-06-30,0.13,2,314,1,
49028735,"Furnished 2 bed, 2 bath in prime downtown location",19638124,Haimchand,,Waterfront Communities-The Island,43.64884,-79.38712,Entire home/apt,115,180,0,,,1,123,0,
